Sample,Original_Reads,3'-tRF_pct,5'-tRF_pct,Mt-3'-tRF_pct,Mt-5'-tRF_pct,Mt-internal-tRF_pct,Mt_rRNA_pct,internal-tRF_pct,lncRNA_pct,miRNA_pct,miRNA_hairpin_pct,misc_RNA_pct,piRNA_pct,protein_coding_pct,rRNA_pct,ribozyme_pct,sRNA_pct,snRNA_pct,snoRNA_pct,vault_RNA_pct,unmapped_pct
SRR1103937,10577564,1.161,10.485,18.32,0.811,0.762,4.31,1.605,0.158,34.958,0.006,2.953,0.907,0.975,16.889,0.076,0.001,0.81,4.141,0.011,0.661
SRR1103938,4055209,0.704,5.968,7.553,0.982,0.555,3.312,1.447,0.153,52.895,0.009,2,0.764,0.801,16.167,0.08,0.001,0.71,5.314,0.012,0.573
SRR1103939,7545982,0.607,4.005,17.367,0.973,0.703,4.392,0.96,0.118,49.724,0.007,2.162,0.537,0.49,13.347,0.042,0,0.526,3.582,0.011,0.447
SRR1103940,5045724,0.6,7.335,10.91,1.056,0.499,2.865,1.169,0.152,53.149,0.008,1.936,0.717,0.841,13.505,0.057,0.001,0.631,4.026,0.015,0.528
SRR1103941,4324490,0.655,3.912,10.327,1.167,0.542,2.121,1.088,0.128,57.441,0.01,2.051,0.612,0.5,13.896,0.06,0,0.684,4.326,0.005,0.475
SRR1103942,4556053,0.436,4.681,9.711,1.045,0.439,2.21,1.121,0.136,59.427,0.01,1.401,0.629,0.704,13.163,0.045,0.001,0.622,3.743,0.013,0.463
SRR1103943,15411186,0.818,4.774,2.081,1.667,0.457,1.624,1.634,0.136,69.182,0.015,1.859,0.659,0.626,9.647,0.041,0.001,0.652,3.636,0.017,0.474
SRR1103944,12767947,1.018,13.541,1.936,1.219,0.343,1.122,1.454,0.111,64.627,0.013,2.528,0.645,0.537,6.682,0.043,0.001,0.638,3.149,0.018,0.375
SRR1103945,11270790,1.104,13.579,0.97,1.313,0.398,0.461,1.569,0.084,70.113,0.011,2.385,0.604,0.392,4.538,0.021,0.002,0.278,1.849,0.02,0.309
SRR1103946,18267395,0.97,14.425,0.687,1.2,0.298,0.3,1.648,0.101,70.647,0.013,2.363,0.501,0.469,3.391,0.028,0.001,0.247,2.379,0.031,0.301
SRR1103947,12503088,0.656,19.999,0.437,1.185,0.231,0.251,1.338,0.085,67.512,0.012,1.842,0.452,0.427,3.199,0.016,0.001,0.154,1.893,0.027,0.283
SRR1103948,12918006,0.816,11.729,0.465,1.351,0.29,0.26,1.257,0.08,75.267,0.012,1.833,0.455,0.414,3.16,0.016,0.001,0.148,2.16,0.022,0.264
